alpha,training_seed,episode,validation_loss,train_recent_loss,states
0.1,101,0,0.042213843353023216,,0
0.1,101,100,0.04587560592739584,0.0491896727835218,126
0.1,101,200,0.042753799538977344,0.061338196824186945,146
0.1,101,300,0.04438298456980684,0.05920966645659443,161
0.1,101,400,0.04272264499085328,0.06038358563145592,167
0.1,102,0,0.042213843353023216,,0
0.1,102,100,0.043812142629765426,0.04543508062305026,130
0.1,102,200,0.042773083953690935,0.059007185404812146,151
0.1,102,300,0.040152424541750796,0.047202328798976796,160
0.1,102,400,0.0464910336668288,0.07059328004240056,172
0.1,103,0,0.042213843353023216,,0
0.1,103,100,0.043642275535947316,0.061471010394388875,140
0.1,103,200,0.04529440021767786,0.05239389833440951,155
0.1,103,300,0.04812775221220186,0.051880937542081104,165
0.1,103,400,0.045271936842303184,0.056898280459577996,172
0.1,104,0,0.042213843353023216,,0
0.1,104,100,0.04251860916214013,0.050521226758041805,132
0.1,104,200,0.04528547859485788,0.0465905297648064,148
0.1,104,300,0.04513627178135403,0.08176276539884071,165
0.1,104,400,0.047508438461409924,0.04530102342123905,171
0.1,105,0,0.042213843353023216,,0
0.1,105,100,0.04417010033838006,0.07328212129997264,134
0.1,105,200,0.04155661321030602,0.03988783983526338,148
0.1,105,300,0.04603247405938311,0.05199288989633615,167
0.1,105,400,0.040060053474278316,0.059337756206007446,176
0.3,101,0,0.042213843353023216,,0
0.3,101,100,0.04106828456862898,0.047617877436015005,131
0.3,101,200,0.0453609643617546,0.058496369336785044,155
0.3,101,300,0.04409024099699429,0.058750075813574026,174
0.3,101,400,0.0463893616261808,0.05889765402002815,181
0.3,102,0,0.042213843353023216,,0
0.3,102,100,0.04206698646094497,0.04635437161060591,128
0.3,102,200,0.04423104722515824,0.05971115877952565,150
0.3,102,300,0.04321778949053508,0.048707806993852056,164
0.3,102,400,0.04661373870781702,0.07348432562205401,174
0.3,103,0,0.042213843353023216,,0
0.3,103,100,0.04241919313059611,0.06202352370142493,139
0.3,103,200,0.04496579521001535,0.05256759378512012,150
0.3,103,300,0.043590960722166956,0.05422064780461435,163
0.3,103,400,0.04342204600187931,0.054229185032650784,170
0.3,104,0,0.042213843353023216,,0
0.3,104,100,0.03984037629184232,0.05211124222730858,131
0.3,104,200,0.03970764656488223,0.04940365406399463,145
0.3,104,300,0.04313125186144193,0.08215992354048147,164
0.3,104,400,0.043581126766788936,0.046508862828672864,169
0.3,105,0,0.042213843353023216,,0
0.3,105,100,0.044156657629444755,0.0738835168504518,134
0.3,105,200,0.04617265110132689,0.041443939028746685,149
0.3,105,300,0.04631105344833335,0.05038938284374251,159
0.3,105,400,0.04438433562929011,0.0588116992131264,171
